heart_rate,steps,hours_of_sleep,calories,move,stress_level
83,12271,4.798870025068582,2015,344,1
60,18216,4.612897177945229,3125,931,0
67,13600,7.952152877244661,2627,416,0
83,11998,9.656986848479571,1892,394,1
70,15295,8.853300769817968,2130,739,0
76,11682,4.458501156628309,3168,955,1
67,17380,5.676206283608298,3347,381,1
94,9519,9.581913309026941,2107,116,0
94,4300,5.518350596804707,2479,170,1
92,7722,8.687022542721515,1933,368,0
64,8218,8.950793175572223,2854,424,1
98,4054,6.972712620765891,2666,893,1
87,14575,6.3180934590898925,3323,404,0
66,8970,6.700746594518558,2039,550,1
68,3143,5.361788166192185,1777,106,0
67,10503,9.336345496773065,1732,413,0
71,16149,6.703717940378548,3052,916,1
93,19922,9.294756642736598,3094,202,0
92,13175,4.634160879437644,2613,920,0
82,9356,9.929651626000787,3015,292,0
83,16070,6.65963852466171,2722,852,0
96,1822,4.286984922364633,1861,673,0
94,18327,4.228131089424729,2964,628,0
99,15289,8.477243544891031,1525,270,1
81,7150,7.954213205222085,2548,636,0
86,5425,8.812783348765524,2917,350,1
94,17032,4.632205203716836,2006,864,1
60,3198,4.2134252022132905,2824,486,0
94,4452,7.051475736685471,2862,306,1
96,10106,6.325571388896617,1766,640,1
73,14859,6.771681620025735,1960,728,0
62,18692,9.949530453221644,3216,515,0
60,9705,9.82449974602402,1955,893,0
64,11112,9.653892338039157,2883,479,1
85,5841,8.703056060606043,2591,243,1
73,16358,6.129048161541342,2506,124,0
98,2409,6.4727855815766295,2362,921,0
86,5566,7.297696262313547,2935,767,1
68,12382,8.98320673842904,3494,172,1
74,18939,4.412276995109607,1990,731,1
74,15596,6.545781315309329,3356,923,1
85,1804,4.495705980755612,2572,932,0
72,14221,7.087945519441069,3210,192,1
91,2279,9.393404944037412,2063,604,1
98,14192,8.694909547383627,2625,697,1
91,8083,5.367054505258659,1715,435,1
63,12093,9.855945097592755,2961,524,0
89,18771,8.00410238827857,3223,598,0
96,13880,4.062566196384418,3092,463,1
82,16517,5.532480908111317,2058,729,1
98,3106,5.5642797995194995,1658,844,0
74,17086,4.41552583771516,1988,298,0
88,5831,9.758959108455574,2185,817,1
95,4186,6.869531767455543,2765,512,1
72,3573,9.374887584231292,2293,438,0
91,13808,5.9332930206677705,3276,758,0
66,3599,4.751401422596963,3405,528,0
81,5033,6.846016659437283,1504,882,0
87,9428,4.683739808285903,3119,998,0
61,2304,6.91609301786524,3343,238,0
65,18685,9.521783087316447,1860,792,1
87,19925,7.124608851005276,1958,641,0
87,19435,7.698998361370501,1747,156,0
79,9633,4.93983062184285,3089,331,0
89,12372,4.262413755279817,3196,757,0
70,9996,4.664847773078842,2445,534,1
87,17458,7.591189454106194,1921,483,1
84,6475,4.570070193953828,3446,659,0
98,8184,6.2559573396478685,3261,293,1
92,13875,7.300551642748936,1514,835,1
60,2622,6.331916791779082,2235,747,1
86,16988,4.982102808791809,3096,633,1
72,9041,5.642747845084639,2645,617,1
62,17725,9.569905197091462,1776,815,1
98,19458,8.055893653518133,3081,850,0
65,8992,6.97628703207932,1952,284,0
67,16646,4.076289339921361,2913,971,0
86,18029,9.954492402936822,2817,391,0
68,5263,8.02872960936786,3097,434,0
96,15060,5.90153486406967,2097,831,1
92,16156,9.275611959987028,1945,215,0
83,9646,5.550589721750908,1709,924,0
74,12664,7.2640994750965096,3113,148,1
91,3969,7.81642458237895,2213,784,1
91,4028,5.326380228722371,1801,181,0
83,4629,9.870383672803575,3432,933,1
71,4067,8.489151435873985,2746,432,1
98,6941,7.34687935306642,3257,656,1
61,18770,5.083567589051805,1502,434,1
62,12555,4.3231492419881565,2489,631,0
96,14081,5.920358995125901,3041,320,1
76,7819,8.519124015480417,2616,734,0
61,12046,5.61598778981215,2019,845,0
61,18717,7.237337322973031,2951,832,1
87,3711,8.367683060384458,1992,422,1
82,5853,4.647662287878786,2758,950,1
96,8715,8.11178809669524,2119,102,0
91,9942,4.551225326260268,2684,793,1
92,16507,9.79077845276198,3244,305,1
60,16826,6.930364780389637,3275,931,1
78,2762,4.9040566462592645,1830,139,1
61,16850,6.054301816201279,1832,158,1
85,13112,6.480498695771569,1549,673,0
91,13652,8.549110066459225,3046,743,1
65,7122,8.460542716459656,2362,606,1
91,1481,7.671643032023987,3191,671,1
63,15536,4.635584275350958,3015,983,0
70,1153,4.909416229526041,3105,942,1
76,8617,4.56254152387334,3204,221,0
97,2524,7.463036699725301,1771,578,0
83,3120,9.262830649068423,2079,718,1
64,16048,6.602803073528631,3390,195,1
93,3343,4.965089043746477,2775,958,1
65,6136,7.3482539508938025,2059,513,0
81,2240,8.87051330119426,2195,334,0
70,1060,8.450272369077581,3355,997,0
75,10130,9.288704678050127,3222,161,0
92,19023,5.667412583493207,2613,355,0
68,13312,5.163723203606649,1945,660,0
65,14350,9.278898915651633,2516,447,1
75,13418,7.945361876668138,2855,770,1
88,2252,5.865573580045325,2662,223,0
62,9363,8.454088303435055,1856,581,1
79,10650,8.890710306882207,3124,416,1
95,19706,7.689869442046794,1773,603,0
78,17314,8.12730465927949,2542,818,0
85,5090,6.251559426655998,1810,147,1
62,7960,7.232174004058234,2369,508,0
78,4004,7.144955024356974,2385,235,0
79,17713,9.088286746784632,1653,300,1
91,4640,9.039783881693095,2913,349,0
66,2341,8.996082816082259,2783,413,1
92,12855,4.066189685574795,2119,968,1
99,1338,8.497272906813329,2382,467,1
98,6895,8.55205834066603,2296,528,1
77,13254,8.070272937130852,3094,929,1
99,12344,8.537587947348715,1624,906,0
60,2750,9.051822228980253,2877,579,0
70,3421,6.821914324610714,2796,413,0
87,8119,7.012301280930683,2118,599,0
84,6319,4.748284341468343,3334,820,1
82,16896,6.312255298284171,1744,454,1
90,12918,7.860191079470706,2347,584,0
89,14849,8.682398656883647,1949,310,1
94,5873,5.303254586147263,2429,803,0
66,5806,4.826937394955412,2770,143,0
75,9592,7.978252027002953,2019,640,0
85,13182,4.011279301149464,2664,670,1
61,17774,5.0702355058439785,1861,682,1
60,13045,4.174428282063722,1507,191,1
71,5430,5.0013107071292255,1977,364,1
64,9820,5.087915679553031,2875,994,0
96,5232,6.326041568502365,1994,319,1
91,12122,6.413962748119336,3129,541,1
68,16023,9.245574823661427,2332,500,1
94,9007,7.060658274992951,2950,499,0
78,18905,8.340428593673717,2562,826,0
75,10018,4.624824147521725,2092,998,1
62,2500,5.352632532782163,1686,888,1
79,7737,8.21766064587206,3119,675,1
83,4294,4.316823762811168,3123,957,1
92,19803,6.919585973462519,2253,903,0
83,5497,7.596213793977603,3377,589,1
70,18850,7.612873864314887,1592,584,1
67,1614,4.137596867608252,1585,856,1
95,10374,5.932648025375113,2567,569,0
97,3667,7.818943906294924,1636,673,0
99,14409,4.89399841689546,1920,943,1
79,17514,8.172493889968319,1573,781,1
94,3983,8.475551252882047,3071,544,1
84,13651,9.891815142676872,3136,368,1
94,9230,5.259051969138456,3035,366,1
84,7640,8.950784005996692,2679,153,0
88,12779,7.121779461511924,3461,627,0
77,16317,6.24077557686504,2778,619,0
77,18304,4.734260543951068,1670,715,1
61,8564,8.413033638925226,3251,158,0
94,16520,5.415145594862123,1669,924,0
75,14737,6.228532011238275,3287,139,0
95,10323,4.37525336138421,2371,336,1
92,16229,8.808201494917114,1821,485,1
63,12713,8.59953114382986,3090,705,0
92,9502,8.401694980253875,1955,833,1
73,1545,5.79666106295132,2443,815,0
80,5346,5.040880445595743,3126,749,0
79,10996,7.8253195868213785,2289,399,0
67,16775,6.9769983046793165,2112,494,0
66,14919,5.069514801427849,2678,306,1
62,4810,8.115467626299182,2388,435,1
76,8206,9.946758590927821,1848,692,1
92,10005,8.483317526452225,2974,829,1
71,17371,8.439918320113671,3399,613,0
81,13316,9.70187651758355,3176,277,1
81,19416,5.217618205449413,2696,495,0
89,9436,7.393299789528642,1509,470,1
97,13984,9.8778802902033,2239,957,1
97,1271,4.991764665821047,2788,890,1
67,19155,8.201511756667127,2961,757,0
86,11616,7.5148608758314115,3283,417,0
86,5361,7.518874553132242,2770,835,0
93,8069,8.186023765120451,2166,468,0
80,18304,9.577701537254105,2045,483,1
89,4430,8.695491639108027,3022,161,0
92,13676,4.33681662049726,1628,905,0
87,11816,9.116368119254268,3195,604,1
92,3050,5.3532479795543955,2100,338,1
64,12692,6.261484988418232,2104,294,0
78,2165,6.7703968816742925,1826,777,1
63,3033,6.885436004518418,3276,321,0
94,1145,6.611082395532141,3358,160,1
76,15269,9.624119765295188,2479,228,0
87,8832,8.236114045984149,1903,784,0
89,15286,7.787023875740238,2128,255,0
88,3632,4.299052166697649,3129,477,0
65,5494,9.423479981562249,3198,721,0
94,16152,9.456341152050378,3134,880,1
96,10155,8.681278380580615,3148,967,0
83,11426,4.042175222881715,2882,889,0
88,11233,4.343681506465741,3126,685,0
90,2828,5.3513422136109385,3381,536,0
94,13260,4.788096448869441,2217,306,0
92,10130,6.393016178222377,2540,487,1
80,5805,9.535738348526738,1773,579,1
91,1806,6.83236260518199,2184,890,0
82,9202,4.080415758592993,1615,986,1
92,2868,5.696474137472572,2360,937,0
62,15561,4.267569450237769,2192,439,1
77,16512,4.217725735681013,2614,968,1
84,15899,5.654319118573314,2605,439,0
90,17220,5.653674032073672,1823,303,1
62,16934,8.722759615609625,2460,260,1
99,6429,9.849007916686672,1613,639,0
83,10076,6.22724256333999,3292,491,0
91,4564,6.573321273166232,2581,868,1
81,2389,9.068736617716128,1653,776,1
82,12593,5.60883412057308,3400,674,1
61,8274,4.938290826420688,2927,633,0
86,18208,9.118537740421903,3151,169,1
61,19649,4.279003518640393,3378,992,1
85,18320,7.718196641196494,2789,504,1
76,11745,7.37195708480084,1814,707,0
99,15199,6.075522685010165,3238,774,0
92,16876,5.8911371265841534,2564,690,0
68,19180,8.631146357089728,1604,616,0
98,9245,4.518547664575279,3424,927,1
88,8214,5.420705855868312,3413,219,0
85,1726,8.394692391028538,2716,913,1
94,14832,7.289923502358546,2924,789,1
84,12362,4.767929251201519,2801,787,1
83,19297,9.29281368569236,1853,316,1
72,11106,6.360687079381549,2515,155,0
66,8657,8.967210251933036,3272,465,0
95,19850,8.726278093166252,3460,798,0
79,15551,7.746552678830368,2232,603,0
60,8906,6.966886787770558,3103,843,0
67,8287,9.87730504229054,2208,866,1
75,1892,4.869790434278903,2779,554,0
73,11222,8.350934365306689,2150,203,0
71,5675,5.147144208788734,2323,176,0
82,2933,6.02957863199409,2446,329,0
74,18764,5.852192460239172,2160,357,1
87,12873,9.682215926432338,1598,363,1
93,18674,9.804137066729652,2087,430,1
61,19024,5.0980926654083625,1781,281,1
91,14239,4.132210961785026,3406,992,1
82,11874,8.320048237978678,1902,867,0
81,18602,6.507939603222906,2632,649,1
84,6016,4.5330414705253865,2199,787,1
81,14774,8.102524633462256,1698,126,1
81,10752,7.270633169564198,2826,375,0
65,18338,9.883100932006636,1826,751,0
74,16585,5.364456975168274,1653,398,1
96,8291,6.423867257959289,2051,898,0
92,1974,7.255274820372538,3168,190,0
67,5133,8.750199930720111,1904,579,1
64,15663,7.293031940320352,1961,672,0
98,4972,7.677400965171695,1631,557,0
63,6295,5.356882309539644,2290,550,0
65,14913,9.08151236853136,2373,464,1
91,10105,6.571783281822855,1583,958,1
89,9228,4.845757765130616,2922,774,1
94,10903,7.985127487032504,2253,450,0
99,4020,5.296542719111845,2127,754,1
75,9987,4.585375061435799,2632,499,0
72,13880,9.171921450425634,1720,352,0
89,6233,6.760973586930638,3427,880,0
78,10516,8.495702276174658,2052,980,1
76,15559,5.743525358838131,2891,902,1
78,17701,8.721820809505997,2670,558,1
87,3396,4.6716155621291815,1611,798,1
85,19546,6.135840242769117,2114,598,0
96,2591,9.868370907841172,3081,607,1
85,12303,8.763938298208036,2423,403,0
82,7183,6.983535581888129,3017,600,1
68,2312,6.03866482937131,3028,902,1
71,8314,9.23281420013486,1974,697,1
60,19767,7.269086554507094,2335,265,0
60,3139,8.550550107214667,3413,514,0
93,15688,8.524646081896984,1770,561,0
91,19088,4.107674071410951,1920,213,0
84,7924,4.7575226967556805,3420,532,0
99,1362,7.957776198368453,2206,455,1
60,19988,4.969718867715229,2890,794,0
75,14481,5.532960067933628,2803,306,0
98,4738,9.679827725197644,2806,867,0
64,3469,7.361093550249471,1539,334,0
81,17106,8.504377041996083,3482,541,1
88,17940,7.347884432695839,1688,454,0
62,10017,7.315081688696351,2687,614,1
71,3808,4.564911460754187,2493,307,1
85,17370,6.061979155654618,3059,808,1
75,15870,5.6945853921190706,2035,952,0
96,13713,6.344370193681679,2527,224,1
81,8561,8.790065129345969,3358,237,0
88,3719,6.231596007501189,1789,438,0
73,12700,6.710180915390096,3476,636,0
87,4741,6.3842883429118995,1932,167,0
64,10766,4.560447831851773,1970,672,0
89,4998,6.646432949504702,2704,640,1
64,19787,5.17365563826709,2771,482,1
71,17077,5.120339774638249,2127,118,0
75,1294,4.564216626605598,1778,782,1
85,11177,6.140025844850588,2376,549,0
85,10882,8.544891308736505,2080,173,1
80,2136,5.658650143500377,2362,672,1
98,3064,5.874094611313081,1753,764,1
95,8009,7.856047946034542,1680,375,1
92,13987,5.175044875521513,3353,147,1
89,5543,9.381747582541205,2180,310,0
96,2007,7.121143139509327,2324,954,0
82,6445,6.685617641921302,3032,750,1
69,11706,7.346921151575208,3284,721,0
64,15749,4.996205880497173,2199,794,1
95,12718,7.680838831835057,2065,639,0
93,10439,6.178604419804063,2849,808,1
90,14281,9.383118045787715,2880,290,1
69,2435,5.013125240066117,3348,414,1
78,1571,7.042306623192646,3173,662,0
91,3382,7.588675776214108,2179,760,0
60,6084,4.200301610718287,1890,879,1
64,17661,6.182158748536842,3138,661,1
63,14507,8.395811408204997,3457,999,0
75,8059,8.922265044693841,2608,857,0
83,19271,5.878971968903694,2840,212,0
75,13771,8.791559634296508,1711,269,0
61,18649,9.806535262620333,3038,567,0
87,8491,9.141243616450565,1883,777,1
91,15527,4.705863928955951,3214,113,0
86,18424,8.438381992513243,1841,814,1
79,15859,5.918000994643268,3338,387,1
83,9073,9.93049593647246,3487,288,0
71,10077,6.912153898959323,2343,254,0
94,12383,4.734603390153646,2561,666,1
92,17378,8.351113288164346,3034,793,0
92,3353,5.938067190317283,1919,821,1
96,5799,9.98246894248997,2250,987,0
71,18070,9.878694747127131,2692,570,0
62,12939,7.936804108123484,3488,174,0
60,3428,4.7789586937103055,3432,376,1
92,12296,8.121165986050174,2866,744,0
99,8813,4.5581829187601635,3349,442,1
69,15414,4.176184954614354,1805,524,0
88,12801,8.937750677328916,3065,670,1
72,12745,5.258517686102088,2201,610,0
71,14025,6.274162757314585,2368,956,1
90,4356,9.84074433985704,2036,281,1
61,15288,6.021043011166619,2635,557,1
94,7540,5.778938687699892,2934,950,1
82,17422,9.50924799773665,3470,932,1
76,4342,4.664490671913748,1705,163,1
85,10078,8.55749446068779,2708,938,0
67,3844,9.928393399916644,2905,359,1
88,11396,9.407776064647893,1995,292,1
85,18482,7.910007512238556,2902,754,1
69,19207,5.884364769956392,2570,715,0
85,14998,5.5259318870699,3409,505,0
93,14261,8.915530629228767,3263,825,0
66,4093,9.27893148371017,3074,853,1
63,12722,7.152609475274157,3051,820,0
70,12645,5.466039644718797,2003,192,0
88,16083,4.677659250467041,2545,529,1
95,1988,4.5230768069909875,1712,753,1
84,7446,8.314464684123134,1809,533,0
80,17335,6.52071236708635,2160,503,1
95,17133,9.432159245667222,3491,533,1
69,2682,8.438027804360582,2252,211,1
96,6626,5.14756250748752,1771,474,1
68,8424,7.682664512894194,3094,158,0
83,13857,6.613032726388957,3322,142,1
94,13155,7.463498384611679,2437,306,0
94,18317,8.428414740031103,2725,879,0
95,12425,8.837175286022745,1531,395,0
77,2980,9.062423958440345,1942,217,0
98,16522,5.523849247432148,1661,631,1
91,9984,4.186693599504146,2266,321,1
83,18175,8.43576841098864,1753,265,1
82,16883,4.638062357534648,2020,742,0
91,6390,5.8895175316778055,2476,255,0
96,19639,4.022902804746083,3174,283,0
71,2607,8.09001689440972,3003,189,1
72,7573,5.002792068827327,1509,193,0
82,18368,7.931694458149949,2225,112,1
84,6776,9.950455703007034,2004,933,1
94,4676,4.436025229660098,2284,904,1
89,4380,4.462468071708765,3359,841,1
76,9711,6.042280556000049,3083,933,0
79,9782,9.198319085508052,1935,903,1
84,18434,5.293179212747991,2634,537,0
81,14997,6.162266919582086,1652,637,1
72,7342,4.411032439761877,3158,686,0
78,18343,8.578931747553337,2416,975,0
95,7059,6.449838056556707,2368,910,1
71,9884,8.555492398365057,2625,249,1
78,6655,9.42164706608077,2252,759,1
71,13091,5.3965788826077326,3356,107,0
68,16251,8.844376182039708,2714,128,1
66,1526,4.35456334046952,3252,395,1
87,4224,9.393084329081484,2062,820,0
73,16069,7.904611285352484,3327,739,1
90,12536,9.24536034483011,2604,439,0
78,14547,4.001130397339491,1988,727,1
75,19259,5.014486422135955,2394,538,0
64,2763,6.338556324558953,2611,243,0
94,9712,6.2770174202483116,2717,929,1
71,6797,5.360382297541064,1603,846,0
84,10208,6.289671639203201,3306,618,1
80,6109,4.773092272001529,2619,144,1
95,17500,6.476566775596156,2946,338,0
82,3433,8.814125974955585,3414,254,1
75,17967,6.8744203786201075,2721,280,0
98,5167,4.10800053367129,2524,314,0
98,18773,6.528664249475485,2506,187,0
73,9357,4.163050096545065,1906,355,0
90,7154,9.797460464240789,2901,610,0
64,9920,4.764723756537213,1666,172,0
94,19427,8.246129957983712,2008,278,0
82,18162,9.836657937352514,3161,311,0
88,1213,8.95623430999943,1812,904,1
70,4762,8.195892250757222,3116,333,1
77,14399,9.036765457004602,2941,564,0
71,10768,9.890792159563766,2262,850,1
68,11640,7.7280669835211775,2180,322,1
69,7731,7.355108840975959,1976,730,1
76,6791,7.7694286627796885,1572,924,1
97,16822,7.19605532056933,2664,363,1
66,9783,7.810534635458312,2081,306,1
72,14621,6.699053247835355,1761,706,0
99,17019,5.310659097299842,2863,984,1
68,3720,4.721483359070054,2831,833,1
86,9905,4.410045613193562,1744,465,1
61,10127,5.5798947025192005,3038,375,1
64,17385,4.276741386014403,2860,479,0
88,7368,7.403024679516314,3098,842,0
96,15056,5.702970682141122,2060,408,0
97,13236,8.947208848522193,2599,730,0
78,19333,4.445445237930318,3403,367,1
67,15451,5.358108966048915,1674,884,0
60,18301,8.381476882540875,1608,163,0
81,11433,7.592849778300948,1682,909,0
76,16525,4.386947627495005,1691,449,0
66,1089,9.263436742973202,1564,593,1
84,19093,9.263570576957077,3372,622,0
63,11361,5.982448023254643,2462,197,1
95,17369,6.042435060097388,2997,170,0
65,4041,9.934170150101043,3306,463,1
90,1105,7.75705702955883,2623,669,1
78,10078,7.1878991234083545,3067,901,0
98,19279,9.028913101311547,2363,862,0
86,7090,5.711742030143899,2651,375,0
69,7082,6.575095560378141,2975,149,0
85,18018,5.606660052930005,3437,457,1
78,2925,8.734965079532389,1868,827,1
98,19440,7.440096073811308,2350,663,0
62,7917,7.952950420840423,1542,882,0
72,1552,5.513843499036439,3407,584,1
87,4911,5.32135180826389,2942,183,0
79,4389,6.930247773897632,1987,998,1
87,14629,8.425394494556961,1577,904,0
67,3430,7.1514385451209606,2325,737,1
98,1458,4.195874065274012,3324,907,1
60,14395,9.211309037921733,2793,683,1
62,1207,4.388121361090789,2173,395,1
72,1899,9.734946902324513,2200,335,1
87,12653,4.150851749663636,2258,155,0
84,17405,8.166702736784252,3423,459,1
92,9601,4.49324238227069,2227,209,0
97,1894,9.464059476610839,2838,291,1
65,1514,6.786599417353257,2424,192,1
91,5109,4.8251426489020925,3374,961,0
80,14258,6.04489419873908,2401,667,0
75,16313,4.9889480520805725,2388,159,0
80,16349,5.02349146934254,2492,749,0
70,8179,9.688649921028652,3468,138,1
96,11326,6.671476673708729,2691,639,0
95,12787,8.732813583432158,1838,148,1
94,2560,7.837633367066092,1692,519,0
78,14612,8.058558174030352,2976,736,0
79,18650,4.790160630832231,1782,112,1
77,5780,5.405106680892914,2859,135,1
73,19311,8.720502010926621,1889,200,0
74,12894,9.824597238848698,2499,893,1
90,3356,5.57605385559191,2024,185,1
60,5790,5.62941258850624,2763,615,1
62,17690,6.837382796865429,3355,322,1
75,11181,9.903041877132626,3481,437,1
82,8057,5.613753674958827,3006,265,1
70,17082,6.441831457805583,2158,482,1
71,1661,9.348880093741041,2215,955,1
69,5644,4.017526195728172,3115,994,0
91,16711,4.238595789931417,2390,475,1
75,3920,7.624430062427315,3078,570,0
67,17002,9.444280988277082,2981,889,1
97,15025,5.433139962411566,2612,741,1
71,9946,6.817850648084254,3183,130,1
83,13732,6.70279180994691,2618,474,1
87,7236,6.837828076573061,1951,110,0
67,17309,7.735118174378471,1927,401,0
87,14518,6.818462577944103,2674,195,1
95,1352,6.684808847934747,3037,289,0
85,8005,6.845730522587563,2899,552,1
67,15036,7.5452046476262495,2545,291,1
87,17542,7.22204493010815,2382,585,0
87,1956,9.124815985903027,1812,365,0
96,3071,4.296981120962,2339,523,1
95,9595,8.999902428838075,2018,227,1
86,16140,9.063547675670344,2729,337,0
76,13803,5.709448129185765,3475,454,1
68,4453,6.777111730095104,1874,211,0
92,7675,6.6312309312246125,1950,927,1
79,1955,5.311059006124782,3149,545,1
72,7295,6.380781082517899,3307,442,0
87,16921,4.266326633025127,2514,244,0
88,19096,5.666932436690407,2094,164,0
72,16282,8.900093052704309,2702,346,1
94,5703,5.707373810577385,2733,834,1
65,7563,8.909240012489485,1999,589,1
77,13003,7.189596787626585,1963,924,1
64,11817,9.27917606416696,3363,538,0
84,12171,7.448677325586491,2647,205,1
61,13582,4.1780093383884385,1612,280,1
69,13201,8.052521245282534,2535,283,1
89,18778,4.269121408141412,2649,325,0
64,13473,6.703582113898804,3088,876,1
92,10461,9.576560166838684,1830,889,1
60,16596,4.991223636027101,3424,188,0
77,1529,6.339234117649265,2806,787,1
91,13765,8.37916185309087,1639,629,1
70,14910,9.293551336569084,2924,470,0
80,12561,8.025658028455048,2401,498,1
85,10131,5.549039525147015,2620,205,1
84,1525,8.047647117497297,2016,370,1
81,17385,5.78036584662454,2068,930,0
86,1374,8.31057537891241,3447,602,1
72,13197,9.724198765510243,2345,778,1
92,5648,8.32836070663773,2592,624,0
93,3365,9.177283017474474,1617,948,0
94,18909,4.012623059055301,2387,131,1
60,2646,8.305432748389567,2582,492,1
80,1013,8.977525341191502,2556,139,1
65,5599,4.243352425268089,2841,759,1
87,3278,9.229586363729384,1549,317,0
76,15296,5.540165369860275,3403,830,1
64,4155,7.991752611868331,3012,181,0
90,9321,8.80212927414044,1518,944,0
64,4814,7.975987078356133,2225,819,1
97,14125,4.553708752439544,1696,300,1
62,4216,7.5779291131622095,3414,546,0
82,3113,7.297501940332862,2973,943,0
96,11238,9.401927608445629,2058,527,1
96,14760,6.425438377865255,3202,137,0
69,13588,5.926486582522301,1951,310,1
69,4374,8.499104586618797,1788,543,1
78,7430,6.476051956500379,2664,426,0
76,12970,7.876577050030378,2607,860,0
80,1629,7.878700540747642,3217,326,1
73,17653,9.328234386160707,1890,147,0
68,11831,7.592154413914584,3114,117,1
60,6724,7.012921659771921,1714,538,1
72,12083,4.833227958379102,3049,906,1
63,14149,4.694425640072232,1714,807,0
60,10472,4.925929391698476,2926,286,1
99,7276,5.031090887962567,1627,444,1
91,16635,7.827262555981804,3345,323,1
93,6895,8.445887501647471,3000,929,1
87,14994,7.179949137558513,2259,587,1
90,11552,8.974106395272946,1903,976,1
67,17959,9.9475793604018,2552,948,1
98,7099,8.920075774716135,3315,328,1
85,10499,8.169294242055756,1837,489,1
93,4178,7.194956196622879,2330,688,1
62,7116,6.69311843004825,2213,287,1
71,16563,4.506354283267254,1860,957,0
60,4568,6.396212490368145,2068,369,1
64,10847,9.460807820692805,2915,706,1
89,15135,8.848135779439318,1717,409,1
89,19587,5.296308190070123,3097,231,0
76,18774,6.799646708183295,3192,650,1
82,2742,8.900339215351266,1701,171,0
74,19309,4.404307328713135,1516,892,1
96,1619,6.324355514011955,1821,944,1
80,18658,9.111047421243686,2017,771,0
73,18340,6.423387185020743,3093,286,1
61,2939,4.465687868388645,2848,585,0
70,17001,7.255206211193508,2935,290,0
98,1968,9.170454969509773,2841,521,1
97,15846,7.541713257718959,2180,219,1
93,1281,5.357674649285391,3488,319,1
97,16360,6.305437720824288,2605,152,1
93,7262,6.700740167091594,2997,833,0
77,2058,7.475598122923161,2991,550,0
89,11724,8.556106154515678,1924,511,1
74,6178,4.593241705843813,3468,742,0
86,7980,9.337912198105398,3254,336,0
